trial,label,result,duration_s,target_x,target_y,target_z
1,Trial 1,success,4.253,0.693,-0.0632,0.9416
2,Trial 2,success,4.963,0.6896,-0.0097,1.0145
3,Trial 3,success,2.768,0.5937,-0.2707,0.9408
4,Trial 4,success,6.242,0.5775,0.0491,1.2954
5,Trial 5,success,2.856,0.6508,0.0739,1.1594
6,Trial 6,timeout,20.847,0.6088,-0.3023,1.1868
7,Trial 7,success,1.664,0.6157,-0.2428,0.9794
8,Trial 8,timeout,20.638,0.5537,-0.3657,1.1234
9,Trial 9,success,17.766,0.52,-0.3015,0.9024
10,Trial 10,timeout,20.419,0.552,-0.2588,1.1606
