trial,label,result,duration_s,target_x,target_y,target_z
1,Trial 1,success,18.519,0.4835,-0.3198,0.8738
2,Trial 2,success,9.621,0.7333,0.0991,1.056
3,Trial 3,success,16.381,0.6502,-0.1344,1.1328
4,Trial 4,success,2.508,0.6978,-0.0456,1.0792
5,Trial 5,timeout,20.711,0.6104,-0.1945,0.9066
6,Trial 6,success,5.07,0.6524,0.0229,0.902
7,Trial 7,success,3.825,0.6973,-0.033,0.9765
8,Trial 8,timeout,20.393,0.7057,0.0942,1.0551
9,Trial 9,success,17.404,0.5932,-0.0071,1.2543
10,Trial 10,timeout,20.305,0.7582,-0.0239,1.035
