trial,label,result,duration_s,target_x,target_y,target_z
1,Trial 1,timeout,20.781,0.714,0.0074,1.1138
2,Trial 2,success,1.297,0.6304,-0.2127,1.0366
3,Trial 3,success,5.944,0.5631,-0.2081,0.851
4,Trial 4,success,1.911,0.5537,-0.304,1.0371
5,Trial 5,success,2.474,0.6749,-0.0982,1.0073
6,Trial 6,success,5.569,0.5723,-0.1715,1.2474
7,Trial 7,success,1.008,0.622,-0.175,1.2533
8,Trial 8,success,2.042,0.6323,-0.1584,1.1838
9,Trial 9,success,1.725,0.5586,-0.1203,1.2866
10,Trial 10,success,1.33,0.5874,-0.0884,1.2887
