trial,label,result,duration_s,target_x,target_y,target_z
1,Trial 1,success,9.41,0.6525,-0.2357,1.1111
2,Trial 2,success,2.839,0.6658,-0.0944,1.0943
3,Trial 3,success,1.266,0.7275,0.0006,1.0557
4,Trial 4,success,12.753,0.4928,-0.3546,1.0733
5,Trial 5,success,12.271,0.6018,-0.2615,1.0283
6,Trial 6,timeout,20.422,0.4782,-0.246,1.3027
7,Trial 7,timeout,20.413,0.5358,-0.3248,1.1018
8,Trial 8,success,7.139,0.6431,-0.0861,1.3086
9,Trial 9,success,10.038,0.5132,-0.1584,1.2841
10,Trial 10,timeout,20.309,0.6614,-0.1315,0.8492
