trial,label,result,duration_s,target_x,target_y,target_z
1,Trial 1,success,8.173,0.7007,0.0416,0.8491
2,Trial 2,success,5.895,0.7417,0.0096,1.0391
3,Trial 3,success,2.654,0.7452,-0.0003,1.0173
4,Trial 4,success,4.133,0.7188,-0.0364,1.1281
5,Trial 5,success,8.033,0.7102,-0.1109,1.1161
6,Trial 6,success,7.259,0.7253,-0.0901,1.1697
7,Trial 7,success,3.951,0.4978,-0.3553,1.1167
8,Trial 8,success,1.919,0.6895,-0.0965,1.1467
9,Trial 9,success,7.886,0.61,-0.2391,0.9339
10,Trial 10,success,13.461,0.6173,0.0016,1.3038
