trial,label,result,duration_s,target_x,target_y,target_z
1,Trial 1,timeout,21.263,0.6322,-0.2186,1.105
2,Trial 2,success,11.425,0.5931,-0.1669,1.2065
3,Trial 3,timeout,20.646,0.4975,-0.2368,1.2552
4,Trial 4,success,8.663,0.6898,-0.2075,0.9704
5,Trial 5,success,4.953,0.579,-0.1864,1.2476
6,Trial 6,success,2.108,0.6368,-0.1125,1.1836
7,Trial 7,timeout,20.569,0.5157,-0.279,0.9055
8,Trial 8,success,4.91,0.7101,-0.1775,1.0684
9,Trial 9,success,2.118,0.6328,-0.1443,1.2042
10,Trial 10,timeout,20.296,0.5307,-0.3342,1.0642
