trial,label,result,duration_s,target_x,target_y,target_z
1,Trial 1,success,18.693,0.669,-0.1737,1.1244
2,Trial 2,success,6.063,0.4779,-0.2066,1.2701
3,Trial 3,success,4.274,0.553,-0.3025,1.1078
4,Trial 4,success,4.852,0.6436,-0.2082,1.1197
5,Trial 5,success,2.303,0.7139,-0.1317,0.9809
6,Trial 6,success,3.189,0.709,-0.1736,1.0475
7,Trial 7,success,1.553,0.6638,-0.2358,0.9581
8,Trial 8,success,7.624,0.617,-0.1646,1.1673
9,Trial 9,success,1.656,0.6246,-0.2707,1.0145
10,Trial 10,success,10.56,0.6797,-0.1392,0.9276
