trial,label,result,duration_s,target_x,target_y,target_z
1,Trial 1,success,22.348,0.4826,-0.3111,0.9865
2,Trial 2,success,1.787,0.5268,-0.2569,1.2274
3,Trial 3,success,1.628,0.6144,-0.2143,1.2527
4,Trial 4,success,1.883,0.6431,-0.1416,0.9523
5,Trial 5,success,2.706,0.4865,-0.2945,0.9037
6,Trial 6,success,1.586,0.5823,-0.2922,0.9604
7,Trial 7,success,3.244,0.501,-0.3129,1.1696
8,Trial 8,success,3.66,0.5776,-0.1938,0.853
9,Trial 9,success,5.469,0.6486,0.0018,0.8478
10,Trial 10,success,3.076,0.6107,-0.2275,1.0068
