trial,label,result,duration_s,target_x,target_y,target_z
1,Trial 1,success,27.484,0.46,-0.3142,0.9037
2,Trial 2,timeout,20.642,0.6848,0.0978,0.8653
3,Trial 3,timeout,20.406,0.5985,-0.1713,0.8527
4,Trial 4,success,1.159,0.7068,-0.0786,0.9871
5,Trial 5,success,2.873,0.6708,0.0324,1.0318
6,Trial 6,success,1.542,0.668,-0.014,1.2012
7,Trial 7,success,3.552,0.5274,-0.3148,0.9906
8,Trial 8,success,2.568,0.5388,-0.2322,1.2604
9,Trial 9,success,2.007,0.572,-0.3166,0.967
10,Trial 10,success,15.995,0.7238,0.0528,1.0461
