trial,label,result,duration_s,target_x,target_y,target_z
1,Trial 1,success,14.128,0.5317,-0.2232,1.2872
2,Trial 2,success,3.049,0.5329,-0.2091,1.2973
3,Trial 3,success,2.023,0.742,-0.0636,1.0658
4,Trial 4,success,2.196,0.6238,-0.1275,0.8571
5,Trial 5,success,3.652,0.6914,-0.0895,0.9107
6,Trial 6,success,9.703,0.4939,-0.2832,1.2852
7,Trial 7,success,2.003,0.6237,0.017,1.3007
8,Trial 8,timeout,20.34,0.4811,-0.3094,0.9616
9,Trial 9,success,1.228,0.521,-0.3238,0.9236
10,Trial 10,success,1.548,0.6407,-0.1983,0.8752
