trial,label,result,duration_s,target_x,target_y,target_z
1,Trial 1,timeout,27.603,0.5163,-0.2614,0.8973
2,Trial 2,success,5.335,0.6492,-0.0306,1.3093
3,Trial 3,success,1.738,0.6139,-0.2461,1.149
4,Trial 4,success,1.891,0.4396,-0.231,1.2737
5,Trial 5,success,1.675,0.487,-0.2165,1.2763
6,Trial 6,timeout,20.346,0.6943,-0.0448,0.837
7,Trial 7,success,4.694,0.6375,0.0545,1.2873
8,Trial 8,success,3.268,0.7054,-0.0381,1.1956
9,Trial 9,success,2.907,0.6831,-0.0749,0.9497
10,Trial 10,success,1.206,0.7507,-0.0717,0.9889
