trial,label,result,duration_s,target_x,target_y,target_z
1,Trial 1,success,12.91,0.6803,0.0916,1.0412
2,Trial 2,success,3.33,0.7287,-0.0527,1.0026
3,Trial 3,timeout,20.364,0.479,-0.328,0.8745
4,Trial 4,success,4.974,0.5618,-0.1243,1.3045
5,Trial 5,success,16.27,0.5069,-0.3286,1.1132
6,Trial 6,timeout,20.391,0.6403,-0.2506,0.8629
7,Trial 7,success,18.543,0.6064,-0.1941,0.8589
8,Trial 8,success,2.345,0.6745,-0.1826,1.0959
9,Trial 9,success,3.519,0.6468,-0.1472,0.835
10,Trial 10,success,8.251,0.5022,-0.2151,1.301
