trial,label,result,duration_s,target_x,target_y,target_z
1,Trial 1,success,11.061,0.7472,0.0073,1.1412
2,Trial 2,success,2.399,0.6505,-0.0349,0.8963
3,Trial 3,success,1.65,0.6342,-0.2971,1.0411
4,Trial 4,success,1.76,0.6414,-0.117,0.9369
5,Trial 5,success,3.524,0.5687,-0.2484,1.2474
6,Trial 6,success,1.995,0.7252,-0.0901,1.0336
7,Trial 7,success,1.226,0.686,-0.0795,1.1955
8,Trial 8,success,1.727,0.7107,-0.1212,0.9901
9,Trial 9,success,1.324,0.7,-0.0157,1.1944
10,Trial 10,timeout,20.373,0.605,0.0636,0.8623
