trial,label,result,duration_s,cube_x,cube_y,cube_z,drop_x,drop_y,drop_z,start_x,start_y,start_z,dist_start_to_cube,dist_start_to_drop,phase_approach_s,phase_grip_s,phase_carry_s,phase_place_s,n_obstacles,total_hits,penalty_accumulated_s,adjusted_duration_s
1,Obs-Transport 1,success,8.202,0.7145,-0.1639,0.9043,0.6175,-0.2184,1.2862,0.3368,-0.5312,0.7764,0.5421,0.6607,5.022,0.512,2.073,0.669,0,1,0.0,8.276
2,Obs-Transport 2,success,10.274,0.7045,-0.1875,1.1751,0.6786,-0.2228,0.8889,0.6425,-0.2523,1.2973,0.1516,0.4111,1.585,0.638,6.497,1.609,0,0,0.0,10.329
3,Obs-Transport 3,success,7.154,0.6545,-0.1977,1.2578,0.7558,-0.0291,0.9573,0.7292,-0.2087,0.8935,0.372,0.1926,2.763,0.604,3.067,0.785,0,6,0.0,7.219
4,Obs-Transport 4,success,5.572,0.6547,-0.2601,1.1866,0.6059,-0.2279,1.2905,0.7374,-0.0429,0.924,0.3506,0.4311,1.504,0.598,2.656,0.87,0,0,0.0,5.628
