trial,label,result,duration_s,cube_x,cube_y,cube_z,drop_x,drop_y,drop_z,start_x,start_y,start_z,dist_start_to_cube,dist_start_to_drop,phase_approach_s,phase_grip_s,phase_carry_s,phase_place_s,n_obstacles,total_hits,penalty_accumulated_s,adjusted_duration_s
1,Obs-Transport 1,success,8.042,0.7346,-0.0959,1.0749,0.6633,-0.0355,1.2969,0.6002,0.0663,0.6928,0.4363,0.6159,4.508,0.733,1.923,0.927,0,1,0.0,8.091
2,Obs-Transport 2,success,4.446,0.745,-0.059,0.9719,0.6569,-0.2145,1.2363,0.6322,-0.0758,1.2992,0.3466,0.1542,1.278,0.549,1.889,0.763,0,7,0.0,4.478
3,Obs-Transport 3,success,34.112,0.7478,-0.0261,0.9775,0.7356,-0.152,1.0072,0.6217,-0.2362,1.1937,0.3267,0.2342,4.313,2.288,25.796,1.746,0,4,0.0,34.143
4,Obs-Transport 4,success,35.482,0.6434,-0.2472,1.2054,0.6947,-0.0916,0.8399,0.7728,-0.1085,1.0119,0.2709,0.1896,31.706,1.243,1.94,0.628,0,10,0.0,35.517
5,Obs-Transport 5,success,4.377,0.7109,-0.1581,0.9124,0.6683,-0.2742,0.9954,0.7004,-0.1147,0.843,0.0825,0.223,1.751,0.456,1.494,0.717,0,2,0.0,4.418
6,Obs-Transport 6,success,25.609,0.6824,-0.0755,1.2395,0.743,-0.1214,0.9868,0.6818,-0.2781,0.9864,0.3242,0.1682,23.199,0.815,0.966,0.664,0,1,0.0,25.644
