trial,label,result,duration_s,cube_x,cube_y,cube_z,drop_x,drop_y,drop_z,start_x,start_y,start_z,dist_start_to_cube,dist_start_to_drop,phase_approach_s,phase_grip_s,phase_carry_s,phase_place_s
1,Transport 1,success,8.216,0.7109,-0.0291,1.2163,0.6776,-0.15,1.2376,0.3493,-0.5465,0.7882,0.7628,0.6833,3.66,1.536,1.722,1.309
2,Transport 2,success,7.197,0.691,-0.1611,0.8925,0.6488,-0.1995,1.2627,0.6812,-0.1625,1.2019,0.3096,0.0782,2.963,1.229,2.037,0.972
3,Transport 3,success,22.447,0.6946,-0.2069,0.9728,0.6767,-0.172,0.8483,0.6636,-0.1899,1.2391,0.2686,0.3914,8.527,1.099,11.742,1.078
4,Transport 4,timeout,100.01,0.6665,-0.2659,1.1141,0.6249,-0.2122,0.8193,0.73,-0.1889,0.8462,0.2859,0.1109,12.615,5.929,81.472,0.0
5,Transport 5,success,6.07,0.6222,-0.2174,1.2462,0.6381,-0.203,1.2654,0.7372,-0.2203,0.8144,0.4468,0.4621,4.281,0.726,0.02,1.052
6,Transport 6,timeout,100.01,0.6639,-0.263,0.9386,0.6246,-0.2313,0.844,0.6197,-0.235,1.2581,0.3237,0.4141,25.13,16.099,51.318,1.171
