trial,label,result,duration_s,target_x,target_y,target_z
1,Trial 1,success,18.293,0.6045,-0.2243,1.1603
2,Trial 2,success,2.214,0.6315,0.0667,1.2189
3,Trial 3,success,3.791,0.5033,-0.3586,1.0725
4,Trial 4,success,3.084,0.6987,0.0253,1.0951
5,Trial 5,success,2.559,0.5976,-0.2813,0.8812
6,Trial 6,success,3.503,0.4701,-0.2375,1.2901
7,Trial 7,timeout,20.305,0.5049,-0.3429,0.8518
8,Trial 8,success,2.765,0.4813,-0.3098,1.2925
9,Trial 9,success,1.969,0.707,-0.1328,1.154
10,Trial 10,success,1.922,0.6888,-0.1707,0.8603
