trial,label,result,duration_s,target_x,target_y,target_z
1,Trial 1,success,18.425,0.5159,-0.3407,1.1451
2,Trial 2,success,7.234,0.7003,0.016,1.1795
3,Trial 3,success,1.74,0.6607,-0.2579,1.1325
4,Trial 4,success,6.733,0.7172,-0.074,1.1523
5,Trial 5,success,5.577,0.7396,-0.0679,0.9774
6,Trial 6,success,3.176,0.6405,-0.1167,1.2342
7,Trial 7,success,1.41,0.6653,-0.2035,1.0615
8,Trial 8,success,3.026,0.5658,-0.1792,1.2344
9,Trial 9,success,1.936,0.6843,-0.0567,0.9038
10,Trial 10,success,1.025,0.7078,-0.1559,1.0517
