trial,label,result,duration_s,target_x,target_y,target_z
1,Trial 1,success,9.237,0.6479,-0.0364,1.2492
2,Trial 2,success,2.611,0.5759,-0.3338,0.9036
3,Trial 3,success,1.852,0.7323,0.0076,0.8848
4,Trial 4,success,1.301,0.6251,-0.3002,1.0155
5,Trial 5,success,2.738,0.6108,-0.1716,1.2846
6,Trial 6,success,2.016,0.5384,-0.3592,1.1188
7,Trial 7,success,1.288,0.5976,-0.2511,1.2685
8,Trial 8,success,1.648,0.5646,-0.2468,1.2333
9,Trial 9,success,1.41,0.709,-0.0748,1.0178
10,Trial 10,success,1.024,0.6682,-0.043,1.0945
