trial,label,result,duration_s,target_x,target_y,target_z
1,Trial 1,success,16.955,0.6766,-0.2415,1.1622
2,Trial 2,success,1.609,0.6162,0.0597,1.3024
3,Trial 3,success,1.725,0.6414,-0.1687,1.1832
4,Trial 4,success,1.739,0.7031,0.0658,1.0676
5,Trial 5,success,1.709,0.7063,-0.1661,0.9445
6,Trial 6,success,1.834,0.5823,-0.2664,1.1032
7,Trial 7,success,3.275,0.7325,0.0528,1.0768
8,Trial 8,success,1.978,0.642,-0.0233,0.8777
9,Trial 9,success,2.271,0.6747,0.0863,1.149
10,Trial 10,success,1.787,0.636,0.0343,1.2177
