trial,label,result,duration_s,cube_x,cube_y,cube_z,drop_x,drop_y,drop_z,start_x,start_y,start_z,dist_start_to_cube,dist_start_to_drop,phase_approach_s,phase_grip_s,phase_carry_s,phase_place_s
1,Transport 1,success,34.625,0.6671,-0.0507,0.8417,0.7331,-0.1391,1.076,0.6537,-0.0224,1.04,0.2008,0.1456,25.108,4.283,4.282,1.112
2,Transport 2,success,8.067,0.6454,-0.1728,0.859,0.7261,-0.0486,0.933,0.7192,-0.1467,1.0689,0.224,0.1677,2.289,1.412,2.772,1.599
3,Transport 3,success,9.786,0.6487,-0.2653,1.174,0.6273,-0.2335,0.8909,0.7497,-0.0769,0.934,0.3214,0.2034,4.118,1.07,1.538,3.061
4,Transport 4,success,28.446,0.5683,-0.243,1.2699,0.6898,-0.1235,0.8841,0.6077,-0.2431,0.9318,0.3404,0.1527,22.795,1.261,3.515,0.878
5,Transport 5,success,15.615,0.5271,-0.3229,1.2349,0.6375,-0.2443,0.9685,0.6681,-0.1446,0.9038,0.4016,0.1227,10.696,1.202,2.354,1.368
6,Transport 6,success,8.496,0.6888,-0.0574,0.886,0.5497,-0.3394,1.1363,0.6167,-0.2632,0.9606,0.2304,0.2028,4.198,0.537,2.729,1.036
7,Transport 7,success,25.7,0.5105,-0.2938,1.291,0.6893,-0.1708,0.907,0.582,-0.3766,1.1355,0.1901,0.3257,18.993,1.167,3.584,1.952
8,Transport 8,success,14.721,0.4895,-0.3522,1.131,0.6711,-0.046,1.231,0.7084,-0.2078,0.9185,0.3375,0.3538,8.986,0.703,2.913,2.118
