frame,shoulder_flex,shoulder_abduct,elbow_flex,wrist_flex,shoulder_abduct_original,shoulder_abduct_cleaned,shoulder_abduct_transformed,is_outlier,motion_phase,difference,rmse
400,10.627863515335775,36.40558025270894,159.9353409822505,159.66631569360715,36.40558025270894,36.40558025270894,20.0,False,endpoint1,-16.405580252708937,11.682991698480256
401,13.9292889259676,40.222358017983474,157.79862899997772,158.232519337602,40.222358017983474,40.222358017983474,20.0,False,movement,-20.222358017983474,11.682991698480256
402,11.95267210106541,42.52782876757578,156.23387036249403,158.17682177408415,42.52782876757578,42.52782876757578,20.0,False,movement,-22.527828767575777,11.682991698480256
403,10.46156902667627,45.331885482726754,154.73854527148973,157.88764656708344,45.331885482726754,45.331885482726754,20.0,False,movement,-25.331885482726754,11.682991698480256
404,7.989055811921614,47.9059343633644,154.1713808293756,158.5139427487185,47.9059343633644,47.9059343633644,20.0,False,movement,-27.905934363364402,11.682991698480256
405,4.905426415152378,56.36318824272068,156.19635435205964,158.2243821900483,56.36318824272068,56.36318824272068,39.14715954576076,False,movement,-17.216028696959924,11.682991698480256
406,4.980942381477048,62.37774875042487,157.34248317853195,158.5477734105241,62.37774875042487,62.37774875042487,58.85478276565262,False,movement,-3.5229659847722488,11.682991698480256
407,8.112848828265323,68.00093643788185,159.7406265006671,158.0919650459165,68.00093643788185,68.00093643788185,77.28001335352111,False,movement,9.279076915639266,11.682991698480256
408,8.903650964317613,71.80909615356728,161.8962627334667,157.82337409926816,71.80909615356728,71.80909615356728,89.75802845400369,False,movement,17.94893230043641,11.682991698480256
409,8.897563469361643,73.83300987769634,162.13342351221362,156.78091433687652,73.83300987769634,73.83300987769634,96.3896899118296,False,movement,22.556680034133265,11.682991698480256
410,8.13058075477976,75.04865818811278,162.94763336944575,157.05020073692464,75.04865818811278,75.04865818811278,100.0,False,movement,24.951341811887218,11.682991698480256
411,7.068355162954854,76.5385389171257,163.9753470404399,156.74451945731056,76.5385389171257,76.5385389171257,100.0,False,movement,23.461461082874294,11.682991698480256
412,8.650065036021266,77.21492497726484,164.23648238338154,156.7468595489486,77.21492497726484,77.21492497726484,100.0,False,movement,22.785075022735157,11.682991698480256
413,8.550903917697859,77.453027787383,164.17513877748632,156.41891729931027,77.453027787383,77.453027787383,100.0,False,movement,22.546972212617007,11.682991698480256
414,9.103689339053355,77.39686886040363,164.67008690834035,156.37881110842878,77.39686886040363,77.39686886040363,100.0,False,movement,22.60313113959637,11.682991698480256
415,8.544156297524554,77.08034364642599,164.66170822259886,156.50444390407637,77.08034364642599,77.08034364642599,100.0,False,movement,22.919656353574013,11.682991698480256
416,7.2978964043948675,77.00996048065147,164.49968618742005,156.720979464527,77.00996048065147,77.00996048065147,100.0,False,movement,22.990039519348528,11.682991698480256
417,6.889590968670666,76.99081375410837,164.29507812339125,156.6184493266326,76.99081375410837,76.99081375410837,100.0,False,movement,23.009186245891627,11.682991698480256
418,6.6198849502839145,76.80946975594301,164.0996075948144,156.4514073630232,76.80946975594301,76.80946975594301,100.0,False,movement,23.190530244056987,11.682991698480256
419,7.10251867022117,76.69978454339112,163.96616007733425,156.5951758473732,76.69978454339112,76.69978454339112,100.0,False,movement,23.300215456608882,11.682991698480256
420,8.169274732011752,76.83897752372087,164.16294963071869,156.40516664781373,76.83897752372087,76.83897752372087,100.0,False,movement,23.16102247627913,11.682991698480256
421,8.417671959900813,76.60809798730281,164.12265835420197,156.2274847095028,76.60809798730281,76.60809798730281,100.0,False,movement,23.391902012697187,11.682991698480256
422,8.216607109376065,76.43563540984076,163.71402523686464,155.79828420717726,76.43563540984076,76.43563540984076,100.0,False,movement,23.564364590159244,11.682991698480256
423,7.495061184580106,76.30920394304914,163.4757102846829,155.78794397223749,76.30920394304914,76.30920394304914,100.0,False,movement,23.69079605695086,11.682991698480256
424,7.135901645135939,76.20753825247104,163.37124940578596,155.73319664174505,76.20753825247104,76.20753825247104,100.0,False,movement,23.79246174752896,11.682991698480256
425,6.314296720324749,76.13972621577282,163.0898332994458,155.93806320309884,76.13972621577282,76.13972621577282,100.0,False,movement,23.860273784227175,11.682991698480256
426,6.062585668685999,76.1357657763786,163.37715175580806,156.37853383803213,76.1357657763786,76.1357657763786,100.0,False,movement,23.864234223621395,11.682991698480256
427,5.434926876211542,76.22979963895035,163.07628562954227,156.11462608579652,76.22979963895035,76.22979963895035,100.0,False,movement,23.770200361049646,11.682991698480256
428,5.03304693720681,76.29746515578123,162.96054243031023,156.63501807097722,76.29746515578123,76.29746515578123,100.0,False,movement,23.702534844218775,11.682991698480256
429,5.296647911953983,76.51331958357454,162.8357815828449,156.99111724070863,76.51331958357454,76.51331958357454,100.0,False,movement,23.486680416425457,11.682991698480256
430,5.146871541047116,77.32005886308872,162.7548058839206,156.72612598158088,77.32005886308872,77.32005886308872,100.0,False,movement,22.67994113691128,11.682991698480256
431,5.957424086609387,78.15564686540324,163.02284012588518,156.71556258572366,78.15564686540324,78.15564686540324,100.0,False,movement,21.84435313459676,11.682991698480256
432,6.013430242921176,79.69932650868247,162.50232387014492,156.4873941305557,79.69932650868247,79.69932650868247,100.0,False,movement,20.300673491317525,11.682991698480256
433,6.127272267806981,80.8662770156064,162.1556973673083,156.85727343503677,80.8662770156064,80.8662770156064,100.0,False,movement,19.1337229843936,11.682991698480256
434,6.341165669780912,81.41764675088257,160.56466916237588,157.0547443520058,81.41764675088257,81.41764675088257,100.0,False,movement,18.582353249117432,11.682991698480256
