frame,shoulder_flex,shoulder_abduct,elbow_flex,wrist_flex
0,-15.86241718558042,74.99339415246752,84.51633698265009,134.74805865004635
1,-22.155883297658665,47.82192452765746,98.56064574793967,135.62669720280016
2,-25.61360682366211,30.98842625914483,118.10641033763362,133.77513825960537
3,-32.05873923672409,27.99782926993327,120.7535872979187,129.21493285138828
4,-39.77522704406727,28.100193804504894,121.82646284152048,129.7531623657942
5,-49.5229509698371,32.91455028949453,116.13473933903727,129.2152389984582
6,-54.032532910974126,33.93330414639708,110.90888189721022,127.8265214117569
7,-52.058794917573245,37.82043846632824,110.09048520553604,124.0337900013633
8,-52.005364026941464,34.177243763289674,113.61174307027106,126.56279559273305
9,-49.923718833265006,36.5291085081613,112.05190788462478,126.75541517297519
10,-48.242520846042915,35.46815200821435,109.48419109705398,127.6762804201331
11,-46.60390464636301,34.754267400223334,111.27504877271187,121.29416341500428
12,-50.399866549211836,33.97425758245652,110.647254768365,120.8566890035282
13,-49.13815388982586,34.96883043811839,107.62024599474526,124.2699239537134
14,-47.932532161505485,32.878010015050656,109.72977841420101,126.80306221271908
15,-47.23769242915385,32.381326367125325,111.85932717297393,129.32831348137782
16,-44.47555123463904,32.7299526379697,115.65344113911598,130.87625570580406
17,-38.82306439646468,33.74570633179084,120.61742238416858,122.96799877049104
18,-35.530640653503106,34.577427540042876,120.91931241116276,126.27596523092097
19,-34.13611603901889,35.708553951642656,124.18606098338039,128.31738071232448
20,-33.6893233220343,39.3773629095149,129.94240771720592,121.82332849007942
21,-20.05633454718351,40.183726859194586,128.50900322979157,129.77038055641955
22,-4.035875076306686,38.50334913761163,122.60046066546633,134.9371653807046
23,27.849319859920374,52.52518009899733,119.0163631098073,131.37490127076683
24,69.53917402468322,24.180769227911007,122.03697866672208,150.67615238907726
25,49.859098411708906,74.32735419447859,113.42160507339439,162.32488586460232
26,54.82784189897497,46.337598457995945,100.92094299661868,92.73889024395659
27,-29.108671489278755,48.31945145985036,102.95113491642815,80.8607215415887
28,-18.508811533316745,45.44398384918613,118.45492373256532,122.24504605230851
29,-4.874425667188585,60.43511002807479,131.3455612702894,151.80795285672207
30,-20.8272996758666,67.317842390868,124.92005344812361,134.8386728169333
31,-13.447622284848853,71.18919280494495,120.99728464953775,143.1311467981563
32,-14.867045602423845,70.02713365503796,119.78715004598152,146.1325346523509
33,-12.887361102449342,70.18345056086766,115.30423599532178,145.92795956000856
34,-14.856806917953012,66.57421320742286,120.39666765580952,148.39106165226718
35,-20.99369935164385,54.15999738794791,119.57998021818297,141.3449689534544
36,-25.474350452140207,47.61935421220313,124.60475995176964,134.236662343369
37,-31.434857369214708,43.67491239530937,124.25501802496366,132.5918901249567
38,-36.37980139861499,39.049190824879766,138.732003456596,151.5513638297651
39,-38.521186957541275,38.77840381107919,152.46585616273816,172.01426993436917
40,-42.198595860218376,38.93546747695549,160.1056747090343,172.4573046892984
41,-43.000749338778846,39.304507447878976,160.52996172416485,176.8880394933538
42,-45.28737432709406,38.59568553141614,163.88017589695326,177.49000447861377
43,-43.886062188764974,38.41165628164086,163.05678658988003,178.96139668995596
44,-42.2843748250384,38.105677242337435,161.55760229905553,178.1409929955888
45,-40.924695849353334,38.31301067407943,161.3453752638924,178.24646533725783
46,-41.96607905683849,38.39167187369704,159.92615313298452,175.105037536861
47,-40.417110997206954,38.60025415077267,160.09270217172778,175.97579952317093
48,-37.77511768714935,37.50858062414263,162.03209484647041,177.39262404937273
49,-40.710180603600335,37.09894569069019,161.8566316134891,176.28088179345235
50,-39.454174852171604,37.196279674905774,161.90073954152308,176.29492070491983
51,-34.02952035085924,36.32074231331689,160.87234892282092,177.40446306608794
52,-28.94534824900131,35.811745007141845,162.18007927994142,174.0511352717892
53,-23.077985079133445,36.15095899806504,162.64239877281256,172.283130659841
54,-19.360017333384164,36.27529820340446,162.84057115274203,170.90039216259194
55,-20.663737126762495,37.10034666137723,160.77490781933946,168.81737760718906
56,-16.688048567894253,37.46913869793441,159.6780816239051,167.97088879148515
57,-16.673476212581665,36.71378798046965,159.53854002937732,162.4800779537853
58,-18.682600301477603,36.37730303959213,158.79218484896546,158.19996244271482
59,-19.410210178112234,34.37830229711,157.68427264137236,156.5563421311274
60,-14.78820729843522,33.79048768539608,157.70927651307406,160.43407882802325
61,-13.703483375186371,32.513163826999865,155.11464620683657,159.9619529846713
62,-9.380740093330262,32.09621263140695,153.00998281209377,162.0186935814487
63,-4.250207063575541,32.78421467631336,152.63535326136622,164.13637790377362
64,-1.2797200440682963,33.86641845401147,151.0273458788931,165.43904893839309
65,1.7716178022162878,34.43273737045128,150.18712356064688,165.05480457567396
66,2.580972793354876,34.7574479228758,149.06049989353426,164.47285457296778
67,2.1368280078987953,33.90763842173038,148.67381766318113,164.4270866018343
68,2.488137718719762,33.54198416619624,148.0698602790966,162.7946148680977
69,2.941795769865993,33.52494408563544,145.97230771424347,162.98362827812196
70,10.909127562571424,34.05597278009629,147.2420489136954,162.32456513704201
71,9.541457423386898,33.53716997181854,147.60108845253436,163.1815789650368
72,18.199769259349495,33.07708447754128,149.33089258498356,161.39526882022673
73,15.031962536785649,32.32422185175281,148.66763273155243,160.32476505663067
74,18.11195856389488,31.2790882615659,148.3134838710957,158.5503778549032
75,19.140208090213285,31.083430961101154,148.4052684064562,157.69619799074812
76,18.65439314711035,31.251832013998207,149.02870716095285,154.884959661545
77,23.824834288839106,32.511337984773284,148.4417291769196,154.24066271297653
78,22.87621093950056,32.79696605660406,146.00960158340814,150.85509024133327
79,24.26470367006298,33.94944810960361,146.1541014528831,148.24209460863338
80,22.742557854029915,33.598236617971025,146.51845114982783,147.65492962658337
81,20.823356394723646,33.487244467732694,146.20684225039795,147.03847377549664
82,27.424749233287557,33.808259175994294,146.54706794905982,146.54663880297582
83,23.105997030872935,33.449990791554434,146.3589266557385,145.54588043856904
84,20.029949494086488,32.529242440197415,144.8203922596266,143.7491540113144
85,20.53380670083024,32.16497492716534,143.81959683629628,142.7771810878857
86,23.00283097705999,31.30077707759026,145.44828363155585,144.84888983811044
87,24.399193116093713,30.698778644570595,146.25733437330382,145.1865351017657
88,27.13411600126062,29.723587468011555,146.0395404074917,144.98593148134844
89,26.921244247054744,29.16338729578832,145.96601025875862,145.79612918753492
