frame,shoulder_flex,shoulder_abduct,elbow_flex,wrist_flex
0,-39.298913483968875,19.446859706724446,144.66971421361794,162.07077110374792
1,-51.24181797361258,19.000880258931215,157.74834558509423,148.2993088375523
2,-53.98270574069874,19.479869333492736,159.23860493630258,145.74717223267047
3,-50.543744807161616,19.256144334498483,156.70266534144574,148.9800424951288
4,-50.35091418818185,19.6695831523544,157.9053535352692,147.30290248207018
5,-49.7694297381042,19.607282259276392,156.63682339101646,148.00568168293202
6,-49.91345121613079,19.4074376768514,155.66048559421057,148.9457242359482
7,-48.00984147852216,19.316904863593518,153.72216078121014,149.720499429322
8,-49.29438296605069,20.43135492018508,155.15294711092707,148.59127249199207
9,-54.35738199422326,20.922134215217383,155.80651597931865,145.3436550218365
10,-53.158187381340305,20.87706879536033,154.3413485922657,146.25449183366266
11,-53.15379290801747,21.062087712877478,152.9310391907592,147.14714172099656
12,-52.78167781446717,20.50636297900122,151.57571592769457,145.31791054344052
13,-52.05947689293175,20.330517095967256,150.63747082800884,145.80731936562725
14,-50.57858286419785,20.971850309092392,149.52579526141966,147.23047608253282
15,-48.71720516462167,21.578320437166376,148.27387772017184,148.19766196567974
16,-47.132867347077166,21.436636056979193,145.7449620591967,144.17061158763855
17,-47.809926359915586,22.02433924631571,143.19194057879622,146.2483076564885
18,-50.91422935062823,22.739944711483346,153.45129823933297,135.01480013436225
19,-48.86546231466218,20.009407068991745,146.3670287598305,138.71572047888915
20,-43.94098514992926,18.506194008243426,143.63667244511996,146.09690021208667
21,-57.365993913262756,19.535172981680397,143.81320862271727,137.81446116141385
22,-45.652400819749374,22.78605021969785,127.962242493177,143.52711993768824
23,-34.37635486870401,21.594053321702372,107.98213267662977,167.86017607491664
24,-21.412788660970044,16.5950323064474,114.11102080404274,165.34049141221385
25,-12.04679008850412,13.85753824852961,114.82166437453029,164.4210036720072
26,-17.20283338655408,12.995483539062214,112.6045462288591,163.41023667190095
27,-11.739010080140202,10.087480159240927,112.37269747857763,160.79065470633256
28,-22.27960263398647,11.17929003202258,114.56070225664101,153.7662917248032
